Time(ms),Ax(g),Ay(g),Az(g)
21472,-1.429,0.085,1.970
21573,-1.371,-0.098,1.970
21674,-1.243,-0.205,1.970
21775,-0.114,0.625,1.377
21876,-0.191,0.802,1.343
21977,-0.103,0.756,1.246
22078,0.347,0.525,0.946
22179,0.561,0.349,0.764
22280,0.600,0.321,0.747
22381,0.654,0.502,0.415
22482,0.699,0.768,0.332
22583,0.701,0.829,0.402
22684,0.670,0.835,0.509
22785,0.613,0.692,0.398
22886,-0.152,0.312,1.787
22987,0.657,0.516,0.411
23088,0.676,0.660,0.557
23189,0.559,0.804,0.814
23290,-0.534,0.899,0.934
23391,-0.813,1.115,1.341
23492,-0.966,0.807,1.351
23593,-1.229,0.625,1.428
23694,-1.302,0.445,1.687
23795,-1.691,0.448,1.970
23896,-0.303,-0.138,1.615
23997,0.106,0.141,1.283
24098,0.306,0.244,1.239
24199,0.250,0.182,1.220
24300,0.344,0.302,1.041
24401,0.350,0.174,0.979
24502,0.383,0.322,0.564
24603,0.815,0.560,0.239
24704,0.668,0.675,0.118
24805,0.609,0.544,0.192
24906,0.375,0.521,0.491
25007,0.313,0.168,0.041
25108,0.414,0.523,0.349
25209,0.301,0.680,0.350
25310,-0.041,-0.528,0.789
25411,0.756,-0.032,0.763
25512,0.520,-0.624,0.659
25613,-0.024,-0.486,1.168
25714,-0.279,-0.373,1.488
25815,-0.334,-0.334,1.466
25916,-0.392,-0.620,1.822
26023,0.524,-0.246,0.467
26124,0.317,-0.198,0.478
26225,0.075,-0.405,0.511
26326,-0.143,-0.558,0.605
26427,-0.170,-0.321,0.765
26528,0.039,-0.581,1.458
26629,-0.016,-0.387,1.471
26730,-0.116,-0.160,1.328
26831,-0.268,-0.388,1.242
26932,-0.301,-0.515,1.360
27033,-0.330,-0.871,1.896
27134,-0.388,-1.074,1.894
27235,-0.600,-0.795,1.921
27336,-0.412,-0.454,1.719
27437,-0.249,-0.448,1.527
27538,-0.265,-0.461,1.548
27639,0.237,-0.810,1.392
27740,0.446,-0.998,1.249
27841,0.659,-0.591,0.980
27942,0.856,-0.284,0.679
28043,0.929,-0.363,0.485
28144,0.867,-0.503,0.467
28245,0.565,-0.176,0.613
28346,0.456,-0.413,0.649
28447,0.446,-0.423,0.739
28548,0.463,-0.173,0.782
28649,0.412,0.001,0.824
28750,0.289,-0.082,0.960
28851,-0.535,0.622,1.135
28952,-0.747,0.473,1.313
29053,-0.823,0.210,1.445
29154,-0.745,-0.075,1.353
29255,-0.777,-0.020,1.400
29356,-0.611,0.228,1.858
29457,-0.769,0.544,1.755
29558,-0.748,0.658,1.726
29659,-0.647,0.617,1.662
29760,-0.378,0.292,1.470
29861,-0.039,0.105,1.289
29962,0.193,0.233,1.203
30063,0.200,0.550,0.562
30164,0.257,0.756,0.565
30265,0.243,0.795,0.562
30366,0.430,0.452,0.456
30467,0.494,0.241,0.277
30568,0.403,0.406,0.285
30669,0.270,0.658,0.279
30770,-0.034,0.500,0.929
30871,-0.176,0.662,1.070
30972,-0.133,0.506,1.326
31073,-0.183,0.295,1.583
31174,-0.306,0.306,1.880
31275,-0.475,0.326,1.959
31376,-1.295,0.283,1.970
31477,-1.003,0.306,1.970
31578,-0.933,0.446,1.970
31679,-0.797,0.443,1.970
31780,-0.566,0.349,1.970
31881,-0.180,0.219,1.935
31982,0.115,0.180,0.634
32083,0.260,0.280,0.594
32184,0.333,0.478,0.582
32285,0.204,0.512,0.661
32386,0.395,0.310,0.860
32487,0.615,-0.039,0.972
32588,0.323,0.309,0.378
32689,0.543,0.183,0.734
32790,0.618,0.207,0.850
32891,0.510,0.260,0.791
32992,0.405,0.184,0.782
33093,0.460,-0.036,0.951
33194,-0.285,0.613,1.048
33295,-0.418,0.380,1.544
33397,-1.584,0.302,1.839
33498,-1.692,0.636,1.970
33599,-1.805,0.601,1.970
33700,-1.811,0.349,1.970
33801,0.121,-0.599,1.127
33902,0.160,-0.726,0.770
34003,0.219,-0.797,0.676
34104,0.300,-0.604,0.538
34205,0.312,-0.299,0.483
34306,0.294,-0.368,0.470
34407,0.691,-0.072,0.444
34508,0.671,-0.296,0.393
34609,0.569,-0.556,0.411
34710,0.553,-0.562,0.439
34811,0.381,-0.305,0.400
34912,0.343,-0.177,0.359
35013,0.348,-0.165,0.281
35114,0.065,-0.332,0.714
35215,0.105,-0.555,0.838
35316,-0.038,-0.732,0.978
35417,-0.227,-0.678,1.149
35518,-0.448,-0.471,1.260
35619,-0.559,-0.354,1.268
35720,-0.712,-0.564,1.199
35821,-0.753,-0.612,1.967
35922,-0.437,-1.043,1.613
36023,-0.334,-1.089,1.505
36124,-0.174,-0.863,1.398
36225,0.094,-0.583,1.182
36326,0.303,-0.654,0.837
36427,0.696,-0.200,0.589
36528,0.592,-0.347,0.511
