Time(ms),Ax(g),Ay(g),Az(g)
11436,0.420,0.426,0.360
11488,-0.341,0.362,0.573
11538,0.038,-0.830,1.035
11590,-0.761,0.744,1.970
11640,-0.524,-0.259,1.748
11694,0.676,-0.576,0.662
11745,0.902,0.654,0.763
11796,0.522,-0.074,0.278
11847,0.698,-0.658,0.255
11898,0.111,0.764,0.806
11948,0.412,-0.014,0.836
12000,-0.433,-0.492,1.422
12050,-0.970,0.715,1.578
12102,-0.002,-0.829,1.588
12152,-0.293,0.499,1.294
12204,0.563,-0.620,0.383
12255,0.226,-0.448,0.396
12306,1.158,0.963,0.716
12357,0.718,-0.252,0.580
12408,0.367,0.378,0.574
12459,-0.021,0.081,0.979
12510,0.173,-0.342,0.986
12560,-0.868,0.880,1.451
12612,-0.823,0.203,1.456
12663,-0.759,-0.375,1.779
12714,-0.195,0.443,1.970
12764,0.924,-0.473,0.472
12816,0.399,0.328,0.528
12866,0.852,-0.478,-0.079
12922,-1.631,0.616,1.970
12973,-0.386,-1.005,1.970
13024,0.311,0.152,0.899
13075,-0.744,-0.076,1.940
13126,1.207,-0.170,0.591
13176,0.623,0.447,0.956
13228,0.973,-0.615,0.068
13278,0.097,0.518,0.493
13330,0.301,-0.146,0.597
13381,-0.238,0.036,0.701
13432,0.111,0.092,1.306
13482,-1.196,-0.250,1.970
13534,0.003,0.459,1.688
13584,-0.517,0.799,1.331
13636,-0.129,-0.723,1.594
13686,0.549,0.408,0.551
13738,0.413,0.551,0.741
13788,1.053,-0.858,0.348
13840,0.148,0.224,0.449
13890,0.384,-0.389,0.537
13942,-0.881,0.645,1.383
13992,-0.048,-0.119,1.142
14044,-0.769,-0.749,1.651
14094,-0.272,-0.575,1.502
14150,0.563,-0.030,0.424
14201,-0.098,0.347,0.933
14252,-0.408,-0.232,1.627
14302,-1.093,0.298,1.970
14354,-0.526,0.069,1.271
14404,-0.763,-0.241,1.478
14456,0.845,0.127,1.155
14506,0.666,-0.492,0.586
14558,0.794,1.058,0.712
14608,0.385,0.227,0.489
14660,0.849,-0.572,0.610
14710,0.171,1.118,0.719
14762,-0.063,0.161,0.813
14812,-0.627,-0.563,1.478
14864,-0.722,0.259,1.970
14914,0.041,-0.162,1.418
14966,-0.116,-0.042,0.928
15017,0.388,-0.341,0.276
15068,0.457,-0.390,0.319
15119,0.705,1.000,0.464
15170,0.445,-0.462,0.401
15221,-0.099,-0.220,0.564
15272,-0.189,1.008,1.595
15322,0.123,-0.458,1.390
15378,0.639,-0.578,-0.032
15429,0.489,-0.080,0.267
15480,1.185,-0.094,0.538
15530,0.097,-0.458,0.596
15582,0.389,0.736,0.680
15633,-0.356,-0.229,1.352
15684,-0.273,-0.118,1.275
15734,-1.523,0.469,1.970
15786,-0.392,-0.473,1.970
15836,0.449,-0.106,0.544
15888,-0.386,0.718,1.405
15939,1.066,-0.454,0.380
15990,0.793,0.094,0.784
16040,1.130,-0.439,0.152
16092,0.127,0.478,0.427
16142,0.041,0.146,0.592
16194,-0.496,-0.400,1.125
16244,-0.005,0.529,1.398
16296,-1.024,0.006,1.970
16346,-0.363,0.596,1.855
16398,-0.021,0.024,0.741
16448,0.082,-0.514,1.308
16500,0.725,0.072,0.506
16550,0.427,0.634,0.345
16606,-0.091,-0.114,1.826
16657,-0.372,-0.783,1.735
16708,0.264,0.599,1.605
