Time(ms),Ax(g),Ay(g),Az(g)
41271,0.562,-0.115,0.043
41472,-0.804,-1.448,0.195
41673,-1.614,1.858,1.738
41874,-1.980,2.000,1.970
42075,-1.980,1.356,1.970
42276,-1.980,0.519,1.970
42477,0.615,-0.810,1.259
42678,0.981,0.605,0.089
42879,1.242,2.000,0.394
43080,0.248,0.265,-0.021
43281,-0.106,-1.206,0.234
43482,0.589,-2.000,1.104
43683,0.973,-1.409,1.283
43884,-0.314,0.745,1.743
44085,-0.424,-0.980,1.970
44286,-0.263,-0.548,1.790
44487,0.419,-1.855,1.885
44688,1.414,0.036,1.566
44889,0.653,0.853,1.004
45090,0.724,0.460,0.504
45291,0.767,0.187,-0.115
45492,0.730,-0.126,-0.313
45693,0.580,-0.156,-0.053
45894,-0.269,-0.684,0.281
46095,-1.298,-0.809,1.020
46296,-1.980,2.000,1.970
46497,-1.980,2.000,1.970
46698,-1.980,1.457,1.970
46899,-1.422,-0.275,1.970
47100,0.883,-0.524,0.748
47301,1.532,1.807,0.458
47502,1.451,2.000,0.460
47703,0.008,1.171,0.054
47904,0.074,-2.000,0.608
48105,1.224,-2.000,1.479
48306,0.188,0.228,1.468
48507,-0.083,0.187,1.453
48708,-0.114,0.675,1.658
48909,0.132,-2.000,1.970
49110,1.222,-0.050,1.807
49311,0.542,0.997,1.456
49512,0.665,0.989,1.150
49713,1.003,0.607,0.292
49914,0.839,0.195,0.054
50115,0.579,-0.070,-0.479
50316,0.114,-0.357,0.099
50517,0.165,-0.314,0.201
50718,-1.126,-0.617,0.904
50919,-1.980,2.000,1.970
51120,-1.980,2.000,1.970
51321,-1.980,0.454,1.970
51522,0.558,-0.432,1.026
51723,0.909,-0.720,0.461
51924,1.353,1.421,0.429
52125,0.808,1.799,0.084
52326,0.270,-0.609,0.186
52527,1.048,-2.000,0.780
52728,0.597,-2.000,1.283
52929,0.609,-0.778,1.532
53130,-0.116,0.937,1.390
53331,-0.993,-1.462,1.970
53532,0.947,-1.534,1.782
53733,0.817,1.078,1.970
53934,1.218,0.464,1.627
54135,0.905,0.876,0.571
54336,0.695,0.439,0.560
54537,0.569,-0.348,-0.364
54738,0.703,0.264,-0.268
54939,-0.327,-0.864,0.301
55140,-0.585,-0.757,0.316
55341,-1.180,0.176,1.064
55542,-1.980,2.000,1.970
55743,-1.980,1.196,1.970
55944,-1.323,-0.299,1.970
56145,0.844,-0.219,0.377
56346,1.152,1.999,0.372
56547,1.170,1.549,0.347
56748,0.571,1.800,-0.229
56949,0.065,-1.624,0.118
57150,0.848,-2.000,1.281
57351,0.655,-0.557,1.506
57552,-0.383,0.982,1.791
57753,-0.706,0.845,1.970
57954,-0.113,-1.638,1.767
58155,0.563,-1.639,1.959
58356,0.894,0.666,1.368
58557,0.874,0.905,1.119
58758,0.562,0.157,0.558
58959,0.739,0.367,0.449
59160,0.722,0.186,-0.431
59361,0.689,-0.311,-0.317
59562,-0.285,-0.891,0.171
59763,-1.379,-0.456,1.287
