Time(ms),Ax(g),Ay(g),Az(g)
1271,0.020,0.000,-0.030
1322,0.315,-1.915,-0.111
1373,0.863,1.478,-0.078
1424,1.463,1.220,0.267
1475,0.771,-0.512,-0.498
1526,0.466,2.000,0.273
1577,0.720,0.578,-0.104
1628,0.909,-2.000,1.790
1679,-0.553,-0.198,0.699
1730,0.319,1.438,1.829
1784,0.568,-0.611,0.214
1835,1.505,1.909,0.315
1886,0.970,2.000,0.312
1937,0.716,-0.970,-0.157
1988,0.634,0.570,-0.009
2039,0.974,-0.513,-0.059
2090,1.308,-2.000,1.053
2141,-0.498,-0.809,-0.052
2192,0.168,1.702,1.228
2243,-1.980,0.718,1.762
2294,-0.180,-0.968,1.881
2345,-1.980,0.815,1.970
2396,0.851,-1.618,1.824
2447,0.640,-1.179,1.134
2498,0.718,1.286,0.689
2549,1.104,2.000,0.128
2600,0.439,-0.837,-0.260
2651,0.783,0.996,-0.549
2702,1.051,-1.122,-0.589
2753,1.402,-2.000,0.483
2804,0.397,-0.325,-0.409
2855,0.768,0.889,1.259
2906,-1.980,2.000,1.970
2957,-0.344,0.703,1.501
3013,0.868,-1.394,-0.418
3064,0.868,-0.167,-0.567
3115,1.383,-2.000,0.667
3165,0.166,-0.344,0.190
3217,0.908,1.355,1.708
3268,-1.980,2.000,1.970
3319,-0.121,0.910,1.899
3369,-1.980,1.770,1.970
3421,1.821,-0.667,1.319
3471,0.594,-1.229,0.268
3523,1.264,1.659,0.123
3574,1.014,2.000,0.071
3625,0.695,-0.181,-0.520
3676,-0.209,-1.940,0.220
3727,0.386,0.277,0.615
3778,1.017,-2.000,1.416
3829,-1.980,-0.876,1.433
3879,0.561,1.530,1.665
3931,-1.980,2.000,1.970
3981,0.226,-2.000,1.332
4033,-1.980,2.000,1.970
4083,2.020,0.589,1.154
4135,0.791,-0.522,-0.188
4185,1.337,1.459,0.030
4238,0.357,-2.000,0.629
4290,-0.390,-0.736,0.309
4341,0.686,-1.420,1.544
4391,-1.980,0.760,1.825
4443,-0.160,1.076,1.371
4493,-1.980,2.000,1.970
4545,0.832,-1.412,1.882
4595,-1.980,0.100,1.970
4647,1.123,1.839,1.635
4698,1.307,2.000,0.152
4749,0.429,0.908,0.649
4800,1.019,1.752,-0.639
4851,1.180,-0.196,-0.342
4901,1.211,-2.000,-0.151
4953,0.276,-0.720,-0.264
5004,1.389,-1.594,0.957
5055,-1.706,0.894,0.743
5105,-0.396,0.062,1.592
5157,-1.980,2.000,1.970
5207,0.478,-2.000,1.965
5259,0.471,-0.800,1.357
5310,1.223,0.522,1.791
5361,1.297,1.119,0.080
5412,0.688,1.520,0.481
5466,1.430,-1.955,1.282
5517,-1.980,1.072,1.970
5568,-0.023,0.164,1.928
5618,-1.980,2.000,1.970
5670,0.856,-2.000,1.498
5720,-1.175,1.080,1.970
5772,1.894,0.925,0.795
5822,1.367,0.970,0.256
5874,0.982,1.027,-0.363
5924,0.397,1.879,0.367
5976,0.800,-0.349,-0.235
6027,-0.216,-2.000,0.685
6078,-0.420,-0.328,0.672
6128,1.136,-1.309,1.933
6180,-1.980,0.518,1.970
6230,-0.128,-0.156,1.706
6282,-1.980,2.000,1.970
6332,0.562,-2.000,1.247
6384,0.021,-1.334,0.544
6434,2.020,1.246,1.095
6486,1.107,0.378,0.197
6537,0.566,-0.356,-0.226
6588,0.714,2.000,0.102
6638,0.773,-0.077,-0.240
6695,1.774,0.217,1.289
6746,0.203,-0.613,1.249
6797,1.141,1.448,0.603
6847,0.739,0.622,0.107
6899,0.289,-0.477,-0.075
6949,0.737,-1.514,-0.336
7001,0.662,-1.352,-0.614
7051,1.413,-2.000,0.277
7103,-0.728,-0.545,-0.719
7153,1.487,0.184,1.347
7205,-1.980,2.000,1.496
7256,-0.404,-1.231,1.730
7307,-1.980,2.000,1.970
7357,1.071,-1.423,1.970
7409,0.789,-1.752,0.210
7459,1.424,0.911,0.938
7511,1.551,2.000,0.284
7561,0.593,0.605,-0.108
7613,0.468,0.846,-0.309
7663,0.920,-0.541,-0.275
7715,0.600,-2.000,0.480
7765,-0.446,-0.562,0.108
7817,0.200,1.698,1.052
7867,-1.980,0.526,1.970
7923,0.576,-0.740,-0.418
7975,0.255,2.000,1.195
8026,0.726,0.001,-0.091
8076,0.680,-2.000,1.202
8128,0.013,0.399,0.324
8179,1.139,1.052,1.970
8230,-1.980,1.497,1.970
8281,-0.091,0.928,1.760
8332,-1.980,2.000,1.970
8382,0.174,-2.000,1.139
8434,-0.498,-0.231,1.149
8484,1.861,1.753,0.846
8536,0.366,-0.987,-0.299
8586,0.259,0.417,0.653
8638,0.361,1.029,0.356
8688,0.462,-1.247,-0.626
8740,1.133,-2.000,0.184
8790,1.041,0.113,-0.234
8842,1.505,-2.000,0.208
8892,-1.293,-0.298,-0.238
8944,-0.029,1.511,1.259
8995,-1.980,2.000,1.970
9046,-0.276,-2.000,1.657
9097,-1.980,2.000,1.970
9151,0.504,-0.474,-0.749
9202,0.535,-0.737,-0.286
9253,0.556,-0.579,-0.736
9303,1.197,-2.000,0.557
9355,-0.549,-0.517,-0.078
9405,1.535,-1.010,1.632
9457,-1.980,1.544,1.970
9508,-0.083,1.658,1.289
9559,-1.980,2.000,1.970
9609,0.900,-2.000,1.608
9661,-0.852,-0.307,1.970
9711,1.773,1.237,0.970
9763,1.589,2.000,0.457
9813,0.895,0.714,-0.444
9865,0.543,2.000,0.152
9915,0.551,-0.202,-0.498
9967,-0.113,-2.000,0.821
10018,-0.323,-0.650,0.800
10069,0.954,-1.075,1.970
10119,-1.980,-0.033,1.936
10171,-0.207,-0.162,1.440
10222,-1.980,2.000,1.970
10273,0.423,-2.000,1.599
10323,-0.312,-1.010,1.011
10375,1.704,0.424,1.855
10426,0.706,-0.588,-0.177
10477,0.199,0.122,0.500
10528,1.493,2.000,0.341
10579,0.518,-0.442,-0.569
10629,0.845,-0.890,-0.479
10681,1.082,-0.182,-0.088
10731,1.580,-2.000,0.296
10783,-1.014,-0.086,-0.337
10834,0.124,1.089,1.423
10885,-1.941,2.000,1.711
10935,-0.034,-2.000,1.651
10987,-1.980,-0.470,1.970
11037,0.854,-0.819,1.970
11089,0.969,-0.322,0.746
11139,0.643,1.422,1.531
11191,1.734,2.000,0.012
11242,0.443,-0.396,-0.579
11293,0.639,-0.581,-0.559
11343,0.989,0.039,-0.013
11395,1.592,-0.567,1.534
11445,-1.301,-1.058,0.582
11497,-0.106,1.501,1.492
11548,-1.980,2.000,1.970
11607,-1.980,-0.397,1.645
11658,-0.168,0.775,1.742
11709,-1.980,2.000,1.970
11760,0.640,-2.000,1.396
11811,0.700,-1.100,0.631
11861,1.774,0.807,1.178
11913,1.209,1.840,0.093
11963,0.886,1.284,0.091
12015,0.848,2.000,0.171
12065,0.882,-0.072,-0.203
12117,0.036,-2.000,0.166
12167,-0.189,-0.249,0.562
12219,0.738,1.326,1.891
12269,-1.980,-1.165,1.321
12321,-0.451,0.193,1.942
12371,-1.980,2.000,1.970
12423,0.431,-2.000,1.275
12474,0.336,-0.695,0.940
12525,1.567,0.617,1.350
12575,0.737,0.221,0.338
12627,0.577,0.471,0.193
12677,1.445,2.000,-0.066
12729,0.234,-0.972,-0.476
12779,0.914,0.589,-0.808
12834,-1.980,2.000,1.970
12886,0.128,-1.747,1.869
12937,-1.980,1.761,1.970
12988,1.328,-0.896,1.970
13039,0.960,-1.579,0.543
13089,1.443,0.157,1.215
13141,1.320,0.581,-0.040
13191,1.564,1.697,0.806
13243,1.074,2.000,-0.015
13293,0.823,0.841,-0.075
13345,0.801,2.000,-0.008
13395,0.567,-0.769,-0.651
13447,0.330,0.564,0.472
13497,0.970,-0.325,-0.103
13549,1.389,-2.000,0.966
13599,1.172,0.123,0.029
13651,1.879,-2.000,0.458
13701,0.816,-0.500,-0.372
13753,1.589,-0.780,0.768
13803,-1.379,-0.181,0.133
13855,1.329,0.561,1.599
13905,-1.628,0.329,0.072
13957,-0.534,2.000,1.970
14007,-1.980,1.835,1.656
14063,0.588,0.886,-0.272
14114,0.720,2.000,0.334
14165,-0.130,-0.129,0.336
14216,0.365,-0.999,-0.362
14267,0.309,-0.771,0.059
14317,0.816,-2.000,0.304
14369,0.111,0.090,0.295
14419,1.179,-2.000,0.535
14471,-0.395,-0.974,-0.572
14521,1.218,-2.000,0.621
14573,-1.042,-0.815,-0.896
14623,-0.075,1.932,1.195
14675,-1.474,0.033,0.288
14726,-0.464,1.307,0.937
14777,-1.980,2.000,1.970
14827,-0.512,-0.291,1.843
14879,-1.980,1.536,1.970
14929,0.029,-2.000,1.576
14981,-0.541,-0.180,1.593
15032,2.020,1.404,1.691
15083,-1.980,-1.264,1.970
15134,1.191,2.000,0.647
15185,1.223,2.000,0.461
15236,1.199,1.410,1.261
15291,1.589,0.802,1.766
15342,-1.741,0.332,-0.492
15393,0.974,2.000,1.630
15444,-1.980,2.000,1.970
15495,-0.000,0.828,0.453
15546,-1.980,2.000,1.970
15597,0.035,-1.615,1.005
15648,-1.980,2.000,1.970
15699,0.813,-2.000,0.348
15749,-1.980,1.111,1.970
15801,1.394,-0.910,1.602
15851,0.609,-1.030,0.172
15903,1.587,1.591,0.758
15953,1.016,0.848,1.177
16005,0.316,-0.632,0.602
16055,1.160,2.000,-0.026
16107,-0.097,0.086,1.203
16157,0.670,1.844,-0.625
16209,-0.100,-0.603,0.926
16259,0.940,-2.000,-0.498
16311,0.948,-0.646,0.320
16361,1.109,-2.000,-0.697
16413,0.010,-0.365,0.365
16463,1.295,-2.000,0.728
16519,-1.980,-0.348,1.970
16570,1.518,0.933,1.307
16621,0.289,-1.566,1.735
16672,0.895,1.526,0.052
16723,1.172,0.382,0.677
16773,0.342,-0.257,-0.679
16825,0.126,-1.268,0.010
16875,0.953,0.177,-0.246
16927,0.781,-2.000,1.276
16977,0.367,-0.130,0.657
17029,0.927,1.411,1.970
17079,-1.980,2.000,1.970
17131,-0.119,0.384,1.728
17181,-1.980,2.000,1.970
17233,1.686,0.002,1.554
17283,-0.019,-1.162,1.064
17335,0.952,1.590,0.886
17386,1.135,0.750,0.149
17437,0.206,-0.908,-0.269
17487,0.887,-2.000,-0.340
17539,0.938,0.115,-0.276
17589,1.521,-2.000,0.290
17641,-1.542,-0.195,-0.142
17691,1.136,1.995,1.566
17748,1.453,2.000,-0.009
17799,0.117,-0.817,-0.450
17850,0.771,-2.000,-0.598
17900,1.164,-0.617,-0.172
17952,1.507,-2.000,0.466
18003,-1.122,0.581,-0.222
18054,-0.333,1.104,1.341
18104,-1.980,2.000,1.970
18156,-0.053,-1.987,1.824
18206,-1.980,1.458,1.970
18258,1.336,0.037,1.970
18308,1.256,-0.021,-0.036
18360,1.012,1.370,0.676
18410,1.234,2.000,-0.233
18462,0.519,-0.228,-0.860
18513,0.166,-2.000,-0.258
18564,0.541,-0.394,0.502
18615,1.229,-2.000,1.504
18666,-1.980,-0.136,1.829
18717,-0.180,0.865,1.652
18768,-1.980,2.000,1.970
18818,0.723,-2.000,1.211
18870,0.414,-1.309,1.062
18920,1.643,1.491,1.241
18975,0.074,-2.000,0.603
19026,1.215,0.244,0.496
19077,1.677,-1.003,1.031
19127,-1.980,-0.331,1.564
19179,1.123,1.654,0.773
19230,-1.980,2.000,1.970
19281,0.261,-1.511,1.970
19332,-1.980,2.000,1.970
19383,0.159,-2.000,1.948
19433,-1.980,2.000,1.970
19485,1.553,-0.632,1.291
19536,0.898,-0.275,1.265
19587,0.949,1.354,0.918
19637,1.239,1.695,0.007
19689,-0.017,-0.732,-0.287
19740,0.811,-1.715,-0.721
19791,1.262,-0.244,-0.120
19841,1.495,-2.000,0.005
19893,-1.024,-0.240,-0.238
19943,1.351,0.763,1.329
19995,-1.980,2.000,1.970
20046,-0.067,-2.000,1.718
20097,-1.980,2.000,1.970
20147,1.537,-1.207,1.430
20203,0.974,-2.000,0.935
20254,0.289,-0.448,0.514
20305,0.921,1.283,1.884
20355,-1.980,0.292,1.970
20407,-0.108,0.208,1.698
20457,-1.659,1.024,1.970
20509,1.070,-2.000,1.447
20559,0.658,-1.103,0.189
20611,0.935,1.151,-0.014
20661,1.315,2.000,0.223
20713,0.270,-0.951,-0.853
20763,0.703,0.818,-0.116
20815,1.105,0.396,0.202
20866,1.118,-2.000,1.549
20917,-0.873,-1.236,0.596
20967,0.369,2.000,1.922
21019,-1.980,2.000,1.970
21070,0.237,-1.794,1.337
21121,-0.561,0.681,1.616
21171,1.843,-0.431,1.056
21223,0.446,-0.076,0.020
21273,0.508,-0.143,-0.180
21325,1.094,2.000,0.247
21375,0.453,-1.027,-0.517
21431,-0.139,-2.000,1.479
21482,-1.980,2.000,1.970
21533,0.765,-0.684,1.883
21583,-1.153,-0.912,1.970
21635,1.256,1.999,1.449
21686,2.020,2.000,0.228
21737,0.317,-0.417,-0.108
21787,1.095,-0.025,-0.388
21839,0.933,0.162,0.025
21889,0.941,-2.000,0.126
21941,-1.276,-0.468,0.145
21991,1.161,0.567,1.597
22043,-1.980,2.000,1.970
22093,-0.112,-1.916,1.530
22145,-1.980,1.686,1.970
22195,0.937,-0.956,1.950
22247,0.839,-1.179,0.054
22298,1.064,1.756,1.486
22349,1.963,2.000,0.133
